Pertandingan,Pass1,Pass2,Pass3,Pass4,Pass5,Pass6,Pass7,Pass8,Pass9,Pass10
1,11,24,2,20,10,11,13,11,16,71
2,10,11,13,11,20,12,13,20,77,71
3,16,8,16,17,21,22,3,20,10,13
4,22,16,8,16,2,17,23,8,82,4
5,20,12,16,8,16,17,21,23,22,13
6,20,11,22,17,21,8,77,13,91,10
7,16,17,21,22,21,93,91,11,3,10
8,20,11,22,78,2,77,8,17,23,71
9,24,11,3,20,12,93,91,10,8,13
10,11,22,78,2,77,20,12,93,4,13
11,22,16,2,17,23,8,78,2,12,10
12,22,21,93,91,11,12,93,91,13,9
13,21,8,77,13,91,10,20,93,77,16
14,8,16,17,21,22,24,11,3,10,77
15,16,11,12,93,91,93,77,16,13,9
16,1,9,20,24,9,10,93,77,22,10
17,8,22,16,2,17,23,11,22,10,77
18,2,77,20,12,3,20,12,10,12,93
19,17,23,8,93,20,13,11,23,77,2
20,12,3,20,12,22,78,2,10,9,77
21,1,2,1,9,20,24,9,10,20,10
22,24,11,3,20,12,13,20,13,11,10
23,24,11,20,11,22,78,2,77,8,13
24,22,16,8,16,17,21,22,21,93,23
25,22,8,22,16,2,17,23,8,93,91
26,21,22,24,11,3,8,10,23,91,21
27,93,91,93,77,16,2,77,20,12,13
28,24,9,10,93,77,17,23,8,93,13
29,2,17,23,11,22,12,3,20,12,16
30,12,3,20,12,10,16,8,16,17,20
31,11,22,12,3,20,20,12,10,16,13
32,77,16,2,77,20,12,12,10,16,21
33,93,77,17,23,8,93,12,16,3,10
34,2,77,20,12,12,10,16,10,3,20
35,20,11,22,78,11,22,12,8,13,10
36,9,10,93,77,17,20,13,11,91,10
37,17,23,8,93,10,23,91,10,93,13
38,20,12,13,20,13,11,22,21,93,23
39,11,22,78,2,77,8,23,11,91,21
40,16,17,21,22,21,93,20,12,10,77
41,16,2,17,23,8,93,12,3,91,10
42,11,3,8,10,23,91,2,77,13,2
43,77,16,2,77,20,12,17,23,11,10
44,93,77,17,23,8,93,16,8,10,9
45,11,22,12,3,20,12,20,12,22,10
46,17,20,13,11,8,93,12,77,13,10
47,22,12,8,13,20,12,93,12,91,24
48,78,11,22,12,8,13,10,16,24,10
49,17,23,8,93,16,20,22,12,91,10
50,3,20,2,14,32,91,10,91,9,20
51,91,23,2,20,2,91,23,91,20,9
52,2,32,9,2,14,2,14,22,21,9
53,14,32,3,23,14,23,22,23,20,9
54,14,32,9,10,11,91,11,10,11,9
55,3,10,3,91,23,91,23,91,9,20
56,32,78,2,9,10,13,22,11,22,9
57,30,23,7,32,3,10,74,10,74,23
58,32,3,10,2,9,30,2,23,10,74
59,3,23,32,9,22,1,9,3,7,74
60,11,30,12,2,16,2,30,11,2,13
61,30,2,27,14,13,16,10,5,9,30
62,21,27,74,14,16,30,2,74,21,9
63,23,21,23,20,9,27,9,30,27,74
64,9,21,30,74,9,16,9,12,20,74
65,10,2,30,23,12,9,12,9,23,9
66,30,74,13,30,12,13,12,23,2,13
67,10,11,13,2,32,2,30,74,10,9
68,13,11,74,27,11,74,27,30,27,9
69,21,27,13,21,8,21,8,11,12,20
70,12,32,3,12,93,12,14,9,74,20
71,23,2,32,2,74,93,23,32,9,93
72,9,3,32,23,12,74,93,74,12,74
73,23,74,22,2,14,16,74,2,9,23
74,16,2,22,2,16,74,21,20,9,20
75,13,74,2,13,2,14,16,13,21,9
76,4,74,23,22,23,13,22,74,20,9
77,3,11,7,11,7,12,23,2,9,21
78,2,9,12,9,13,12,9,13,11,21
79,25,13,74,23,14,23,25,13,37,37
80,23,74,37,23,32,32,23,2,7,74
81,10,21,8,93,21,93,21,74,21,5
82,93,37,3,37,30,21,32,27,37,93
83,32,21,27,21,14,37,21,23,30,25
84,3,21,7,11,16,7,21,3,11,23
85,3,7,12,13,11,13,11,13,25,7
86,13,2,7,13,12,2,11,7,21,7
87,21,3,27,3,27,3,30,13,37,27
88,74,7,74,25,21,7,74,25,23,25
89,2,14,25,37,93,25,37,21,23,25
90,74,25,12,2,30,23,12,21,93,21
91,25,30,23,3,74,23,2,16,23,93
92,78,93,2,74,2,93,30,25,23,25
93,30,32,3,37,23,13,23,2,21,37
94,13,30,23,3,27,3,30,13,74,37
95,2,7,93,12,93,2,74,7,30,37
96,37,74,2,12,93,2,37,3,30,37
97,11,12,11,12,2,30,74,30,21,27
98,19,10,93,10,4,19,10,66,21,19
99,53,77,10,66,10,55,66,55,11,10
100,30,22,23,22,74,23,12,23,13,7
101,25,27,74,93,27,11,93,74,27,25
102,27,7,27,7,25,12,27,13,21,7
103,13,11,23,2,23,12,11,13,21,25
